
2011 Q3;e201112;IREF;3,5;4;4,5;3,5;4;4,5;4;4,23;4,5;3,63;4,13;4,63;3,5;4;4,5;3,63;4,13;4,63
2011 Q3;e201112;D;4,12;4,03;3,95;12,5;12,7;12,3;4,5;3,9;4,2;98;95;95;1,7;1,1;1,5;
2011 Q3;e201107;INF;1,8;2,8;3,7;1,4;2,8;4,2;3,7;4,1;4,5;2;2,8;3,6;1,5;2,7;4;2;3;4
2011 Q3;e201107;PKB;1;2,8;4,5;1,2;3,4;4,8;3,3;3,8;4,3;1;2,8;4,5;1,2;3,3;4,8;1,9;3,5;5
2011 Q3;e201107;IREF;3,5;4;4,75;3,5;4;4,75;4,16;4,22;4,24;3,56;4,17;4,63;3,5;4,06;4,75;3,8;4,3;4,8
2011 Q3;e201107;D;4,1;4,08;3,9;12,2;11,4;10,4;5,2;5;5,7;114;115;125;1,7;0,8;1,5;
2011 Q3;e201103;INF;1,6;2,9;4,2;0,5;2,2;3,9;3,9;4,1;4,3;2,5;3,1;3,7;1,4;2,3;3,2;2,5;3,2;3,9
2011 Q3;e201103;PKB;2,7;3,7;4,6;0,8;2,8;4,5;3,8;4,1;4,4;3;3,6;4,2;0,9;2,5;4,1;2,2;3,4;4,4
2011 Q3;e201103;IREF;4;4,26;4,75;3;3,75;4,5;4,19;4,23;4,27;3,69;4,32;4,75;3,07;3,57;4,75;3,29;3,99;4,65
2011 Q3;e201103;D;3,98;3,91;3,87;12,2;12,6;13,5;5;4,8;4,4;113;99;103;1,6;1,2;1,4;
2011 Q3;e201115;INF;2,3;3,3;4,3;0,9;2,9;4,9;3,7;3,9;4,1;2;3;4;1,2;3,2;5,2;1,9;3,4;4,9
2011 Q3;e201115;PKB;2,1;3,1;3,6;2,3;3,8;4,4;3,8;4;4,2;2,5;3,5;4;2,2;3,7;4,3;2,7;3,9;4,5
2011 Q3;e201115;IREF;3,75;4;4,25;3,5;4;4,25;4,23;4,25;4,27;3,94;4,1;4,29;3,75;4,1;4,3;3,93;4,29;4,39
2011 Q3;e201115;D;;;;;;;;;;;;;;;;
2011 Q3;e201101;INF;2,6;3,5;4,4;1,8;3;4,3;3,8;3,9;4,1;2,8;3,6;4,4;1,9;3,1;4,3;1,6;3;4,3
2011 Q3;e201101;PKB;3;3,6;4,3;2,4;3,5;4,6;4;4,1;4,2;3,1;3,7;4,3;2,5;3,6;4,6;2,1;3,4;4,7
2011 Q3;e201101;IREF;;;;;;;;;;;;;;;;;;
2011 Q3;e201101;D;;;;;;;;;;;;;;;;
2011 Q3;e201123;INF;2,8;3;3,2;2,9;3,2;3,5;3;3,3;3,6;2,6;2,9;3,2;2,8;3;3,2;3;3,2;3,4
2011 Q3;e201123;PKB;3;3,5;4;3,4;3,8;4,2;4,1;4,3;4,5;3,3;3,8;4,3;3,9;4,2;4,5;4;4,5;5
2011 Q3;e201123;IREF;4;4,25;4,5;4;4,25;4,5;4,25;4,5;4,75;4;4,25;4,5;4,25;4,5;4,75;4;4,25;4,5
2011 Q3;e201123;D;;;;;;;;;;;;;;;;
2011 Q3;e201119;INF;2,5;3;4,5;2,5;3;4,5;3,9;4,1;4,3;2,2;2,9;3,6;2;3,2;4,4;2,3;3,3;4,3
2011 Q3;e201119;PKB;2,5;3,5;4,5;2,8;3,8;4,8;3,5;3,9;4,3;2,1;3,1;4,1;2,3;3,5;4,7;2,5;3,5;4,5
2011 Q3;e201119;IREF;2,75;3,75;4,75;2,5;4;5,5;4,21;4,25;4,27;2,5;3,75;5;2,25;3,75;5,25;3;4;5
2011 Q3;e201119;D;;;;;;;;;;;;;;;;
2011 Q3;e201106;INF;1,5;2,9;4;2;3;4,5;3,7;4,1;4,5;2,1;3;3,6;2;3;4,5;2;3,5;5
2011 Q3;e201106;PKB;1;3,2;4,2;2,5;4;5,5;3,2;4;4,4;1;3,3;4,3;2,5;4;5,5;2,2;3,6;4,5
2011 Q3;e201106;IREF;3,5;4,5;4,75;3,75;4,75;5;4,24;4,25;4,26;4;4,5;4,75;3,75;4,75;5;3,75;4,75;5,5
2011 Q3;e201106;D;4,08;3,99;3,8;12,1;11,5;11;4,2;4,5;4,5;104;110;115;1,7;1,5;2;
2011 Q3;e201100;INF;2,5;2,8;3,2;2,2;2,5;2,9;3,9;4;4,1;2,7;2,9;3,3;2,3;2,6;2,9;2,2;2,5;3
2011 Q3;e201100;PKB;2,8;3,8;4,1;2,4;3,2;3,6;3,9;4,1;4,2;3,7;4,3;4,6;3,2;3,7;4;3,7;4;4,2
2011 Q3;e201100;IREF;4,2;4,25;4,4;3,8;3,9;4,25;4,2;4,25;4,3;4,1;4,2;4,3;3,9;4;4,25;3,6;4;4,2
2011 Q3;e201100;D;4,05;3,88;3,75;11,2;10,7;11;5,2;5,3;3,9;110;105;99;1,7;1,6;1,8;
